INFO 2025-06-13 07:01:04,558 autoreload 6068 7028 D:\Websites\Hyperwave\core\views.py changed, reloading.
INFO 2025-06-13 07:01:06,455 autoreload 10088 14588 Watching for file changes with StatReloader
INFO 2025-06-13 07:01:30,470 basehttp 10088 6052 "GET /products/ HTTP/1.1" 200 96248
WARNING 2025-06-13 07:01:30,536 basehttp 10088 6052 "GET /static/images/router.jpg HTTP/1.1" 404 1911
WARNING 2025-06-13 07:01:30,689 basehttp 10088 5856 "GET /static/images/Tenda%20AC1200%20Dual%20Band%20Router.jpg HTTP/1.1" 404 1988
WARNING 2025-06-13 07:01:30,823 basehttp 10088 10568 "GET /static/images/Tenda%20AC10%20AC1200%20Router.jpg HTTP/1.1" 404 1971
WARNING 2025-06-13 07:01:30,866 basehttp 10088 16520 "GET /static/images/fiber-cable.jpg HTTP/1.1" 404 1926
WARNING 2025-06-13 07:01:30,868 basehttp 10088 10372 "GET /static/images/Single%20Mode%20Fiber%20Cable.jpg HTTP/1.1" 404 1968
WARNING 2025-06-13 07:01:30,882 basehttp 10088 780 "GET /static/images/Multimode%20Fiber%20Cable.jpg HTTP/1.1" 404 1960
WARNING 2025-06-13 07:01:30,893 basehttp 10088 1660 "GET /static/images/Armored%20Fiber%20Cable.jpg HTTP/1.1" 404 1954
WARNING 2025-06-13 07:01:31,020 basehttp 10088 10740 "GET /static/images/fiber-accessories.jpg HTTP/1.1" 404 1944
WARNING 2025-06-13 07:01:31,158 basehttp 10088 2252 "GET /static/images/Fiber%20Patch%20Cords.jpg HTTP/1.1" 404 1948
WARNING 2025-06-13 07:01:31,220 basehttp 10088 7592 "GET /static/images/Fiber%20Closures.jpg HTTP/1.1" 404 1937
WARNING 2025-06-13 07:01:31,224 basehttp 10088 12048 "GET /static/images/Fiber%20Termination%20Box.jpg HTTP/1.1" 404 1960
WARNING 2025-06-13 07:01:31,227 basehttp 10088 16492 "GET /static/images/fiber-testing.jpg HTTP/1.1" 404 1932
WARNING 2025-06-13 07:01:31,229 basehttp 10088 18096 "GET /static/images/Fiber%20Power%20Meter.jpg HTTP/1.1" 404 1948
WARNING 2025-06-13 07:01:31,356 basehttp 10088 8616 "GET /static/images/Visual%20Fault%20Locator.jpg HTTP/1.1" 404 1957
WARNING 2025-06-13 07:01:31,499 basehttp 10088 17776 "GET /static/images/Fiber%20Cleaver.jpg HTTP/1.1" 404 1934
WARNING 2025-06-13 07:01:31,550 basehttp 10088 5688 "GET /static/images/fiber-splitter.jpg HTTP/1.1" 404 1935
WARNING 2025-06-13 07:01:31,562 basehttp 10088 6920 "GET /static/images/PLC%20Splitter.jpg HTTP/1.1" 404 1931
WARNING 2025-06-13 07:01:31,567 basehttp 10088 14356 "GET /static/images/PLC%20Splitter%2016.jpg HTTP/1.1" 404 1942
WARNING 2025-06-13 07:01:31,569 basehttp 10088 10724 "GET /static/images/PLC%20Splitter%2032.jpg HTTP/1.1" 404 1942
WARNING 2025-06-13 07:01:31,698 basehttp 10088 7648 "GET /static/images/fiber-connectors.jpg HTTP/1.1" 404 1941
WARNING 2025-06-13 07:01:31,830 basehttp 10088 3668 "GET /static/images/SC%20Connector%20Kit.jpg HTTP/1.1" 404 1945
WARNING 2025-06-13 07:01:31,866 basehttp 10088 13496 "GET /static/images/LC%20Connector%20Kit.jpg HTTP/1.1" 404 1945
WARNING 2025-06-13 07:01:31,895 basehttp 10088 14464 "GET /static/images/Fiber%20Adapters.jpg HTTP/1.1" 404 1937
WARNING 2025-06-13 07:01:31,907 basehttp 10088 12240 "GET /static/images/radio.jpg HTTP/1.1" 404 1908
WARNING 2025-06-13 07:01:31,919 basehttp 10088 17496 "GET /static/images/Ubiquiti%20LiteBeam%20M5.jpg HTTP/1.1" 404 1957
WARNING 2025-06-13 07:01:32,036 basehttp 10088 11072 "GET /static/images/RJ45%20Connectors.jpg HTTP/1.1" 404 1940
WARNING 2025-06-13 07:01:32,162 basehttp 10088 9120 "GET /static/images/Cable%20Tester.jpg HTTP/1.1" 404 1931
WARNING 2025-06-13 07:01:32,209 basehttp 10088 7452 "GET /static/images/Cat6%20Cable.jpg HTTP/1.1" 404 1925
WARNING 2025-06-13 07:01:32,225 basehttp 10088 14700 "GET /static/images/accessories.jpg HTTP/1.1" 404 1926
